Ref_Date,GEO,INS,RAN,STA,Value
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Full professor,Total teaching staff,294
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Full professor,Average (dollars),153550
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Full professor,Median (dollars),151325
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,With senior administrative duties,Total teaching staff,42
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,With senior administrative duties,Average (dollars),159675
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,With senior administrative duties,Median (dollars),156425
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Without senior administrative duties,Total teaching staff,252
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Without senior administrative duties,Average (dollars),152525
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Without senior administrative duties,Median (dollars),151325
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Associate professor,Total teaching staff,420
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Associate professor,Average (dollars),123500
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Associate professor,Median (dollars),120125
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,With senior administrative duties,Total teaching staff,60
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,With senior administrative duties,Average (dollars),130300
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,With senior administrative duties,Median (dollars),128750
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Without senior administrative duties,Total teaching staff,363
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Without senior administrative duties,Average (dollars),122425
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Without senior administrative duties,Median (dollars),119200
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Assistant professor,Total teaching staff,294
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Assistant professor,Average (dollars),98550
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Assistant professor,Median (dollars),99900
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Rank below assistant professor,Total teaching staff,18
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Rank below assistant professor,Average (dollars),80775
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Rank below assistant professor,Median (dollars),78500
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,All ranks combined (including deans),Total teaching staff,1035
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,All ranks combined (including deans),Average (dollars),125325
